FIPStxt,year,rate_domestic_migration
18117,2020,3.2658059907
18119,2020,-0.192026116
18121,2020,-4.304879847
18123,2020,3.8696857188
18125,2020,0.3228800904
18127,2020,4.8723508799
18129,2020,-4.354563465
18131,2020,-11.35037231
18133,2020,1.0124963364
18135,2020,-6.67057468
18137,2020,-6.305703315
18139,2020,-3.552504817
18141,2020,-3.367735327
18143,2020,4.9100866609
18145,2020,2.8234977759
18147,2020,-4.131621662
18149,2020,3.0035258782
18151,2020,3.0688611919
18153,2020,-1.160401305
18155,2020,0.651708407
18157,2020,-5.950470929
18159,2020,2.8420356907
18161,2020,5.2545622382
18163,2020,-0.259259566
18165,2020,0.064499484
18167,2020,-5.102492946
18169,2020,-3.633791041
18171,2020,-2.296766395
18173,2020,7.3323131854
18175,2020,3.1089193825
18177,2020,-1.849465626
18179,2020,3.8666879512
18181,2020,-2.736602052
18183,2020,-5.646145476
19000,2020,-1.58986295
19001,2020,9.9817236047
19003,2020,-9.660502346
19005,2020,-14.08910999
19007,2020,5.5584645749
19009,2020,5.2885930519
19011,2020,-0.039009167
19013,2020,-8.587151218
19015,2020,-1.522475545
19017,2020,1.9198848069
19019,2020,-3.494439591
19021,2020,-19.52035694
19023,2020,-3.659715509
19025,2020,-2.580112493
19027,2020,-0.396845082
19029,2020,-5.972696246
19031,2020,2.2586109543
19033,2020,-3.596107742
19035,2020,-0.97647581
19037,2020,-4.940339125
19039,2020,-15.02884056
19041,2020,-8.280928958
19043,2020,0.6269771153
19045,2020,-0.193827666
19047,2020,-22.76681707
19049,2020,28.101588825
19051,2020,-4.228800356
19053,2020,-5.329949239
19055,2020,-5.749149361
19057,2020,-4.429310257
19059,2020,9.4825329416
19061,2020,1.0914726128
19063,2020,-7.465512578
19065,2020,-1.373032622
19067,2020,-7.198827801
19069,2020,-3.076159762
19071,2020,-3.443081558
19073,2020,-7.281689352
19075,2020,-2.366960496
19077,2020,-2.802559671
19079,2020,-7.215347787
19081,2020,-6.18556701
19083,2020,-3.433679661
19085,2020,-1.989060169
19087,2020,-5.851901868
19089,2020,-0.654664484
19091,2020,-0.732332479
19093,2020,7.2960747118
19095,2020,2.1027242648
19097,2020,1.0291771729
19099,2020,-1.075644715
19101,2020,-4.049136823
19103,2020,-5.668088661
19105,2020,0.0483629153
19107,2020,1.173077863
19109,2020,-5.590919807
19111,2020,-6.482550395
19113,2020,-0.658608656
19115,2020,-13.61096088
19117,2020,-4.878898763
19119,2020,-10.1824353
19121,2020,7.7433628319
19123,2020,0.6800716342
19125,2020,-0.691604522
19127,2020,-14.91350922
19129,2020,2.2533717732
19131,2020,0.9453136078
19133,2020,0.8104665972
19135,2020,-8.142164782
19137,2020,-1.710433645
19139,2020,-9.633145503
19141,2020,-2.39555733
19143,2020,-10.34540297
19145,2020,-4.483122363
19147,2020,-3.035583788
19149,2020,3.7847851636
19151,2020,-12.15030376
19153,2020,1.592222903
19155,2020,-2.316726551
19157,2020,3.2998836926
19159,2020,-7.321537523
19161,2020,2.9856892824
19163,2020,-2.782389384
19165,2020,-7.039499413
19167,2020,-5.88598418
19169,2020,-3.80612487
19171,2020,-2.490881594
19173,2020,-7.816953017
19175,2020,-4.319654428
19177,2020,5.6911147471
19179,2020,-4.402515723
19181,2020,6.0109289617
19183,2020,-6.45117325
19185,2020,6.6946909544
19187,2020,-12.92858824
19189,2020,-15.50758627
19191,2020,-0.799840032
19193,2020,0.0680860997
19195,2020,-5.407597675
19197,2020,-10.45461746
20000,2020,-4.242984971
20001,2020,-9.248090068
20003,2020,1.0187189609
20005,2020,-5.582087701
20007,2020,-9.22177238
20009,2020,-9.645806004
20011,2020,-3.164121612
20013,2020,-5.111087932
20015,2020,-0.508434023
20017,2020,16.768292683
20019,2020,-12.81660055
20021,2020,-2.701756141
20023,2020,9.0531874764
20025,2020,-0.501504514
20027,2020,1.6244923461
20029,2020,8.4474885845
20031,2020,-8.165255012
20033,2020,-23.28288708
20035,2020,-6.851563727
20037,2020,-6.895753194
20039,2020,-10.19869879
20041,2020,-11.68299774
20043,2020,-7.471490366
20045,2020,2.8105584958
20047,2020,-9.967960128
20049,2020,23.13522138
20051,2020,-6.43367891
20053,2020,-7.990216062
20055,2020,-15.7271046
20057,2020,-24.94962664
20059,2020,-5.315718501
20061,2020,-55.64262107
20063,2020,12.578616352
20065,2020,9.6832761751
20067,2020,-29.07781778
20069,2020,-26.35941645
20071,2020,-10.56481105
20073,2020,-2.334695239
20075,2020,-34.24790815
20077,2020,-7.30994152
20079,2020,5.0137002274
20081,2020,-13.31992963
20083,2020,-14.93362832
20085,2020,-10.4383344
20087,2020,8.8128974379
20089,2020,13.277428372
20091,2020,0.4981141631
20093,2020,-37.53695848
20095,2020,-6.679654884
20097,2020,-8.058017728
20099,2020,-15.78787572
20101,2020,-4.543979228
20103,2020,-0.710544853
20105,2020,-7.382550336
20107,2020,-3.697237342
20109,2020,-14.27042455
20111,2020,-7.9705241
20113,2020,1.6471000526
20115,2020,-0.840089049
20117,2020,-2.986304191
20119,2020,-19.185832
20121,2020,11.533821755
20123,2020,-17.04028456
20125,2020,-9.073842303
20127,2020,8.9469446184
20129,2020,-43.93939394
20131,2020,3.537040676
20133,2020,-4.183316683
20135,2020,-10.81860801
20137,2020,-9.090909091
20139,2020,3.0106312917
20141,2020,-13.08139535
20143,2020,-5.586592179
20145,2020,-23.87002387
20147,2020,-5.137963844
20149,2020,0.6997036549
20151,2020,-20.42801556
20153,2020,3.9745627981
20155,2020,-5.469359522
20157,2020,-3.875968992
