county_fips,rate_net_migration
8001,8.9727956668
8003,-7.518557456
8005,10.444257265
8007,5.5479650561
8009,-10.4
8011,-98.59843546
8013,10.596714456
8014,18.975820855
8015,7.1858935382
8017,-0.535475234
8019,-1.885850574
8021,-9.916555811
8023,-7.454445058
8025,-75.95382853
8027,0.7105637139
8029,1.9060764402
8031,14.444613452
8033,-21.21885023
8035,12.451459266
8037,-6.11198927
8039,2.3249806252
8041,5.3533524298
8043,-4.80774322
8045,3.350796479
8047,-1.84179022
8049,-29.04391329
8051,2.0235647378
8053,-34.4191764
8055,12.678530512
8057,-19.38851603
8059,8.0819936934
8061,-5.633802817
8063,-15.39029796
8065,-16.5798849
8067,7.1129346128
8069,12.878030411
8071,-3.062073556
8073,5.5253706603
8075,-11.92887188
8077,-2.302277489
8079,9.7902097902
8081,-23.08791457
8083,-0.667294709
8085,-6.517690875
8087,-12.91005291
8089,-11.31481333
8091,14.781634938
8093,-2.491901321
8095,2.0412792016
8097,2.5536113287
8099,-11.23460258
8101,1.6266496315
8103,-0.888559793
8105,-4.541822617
8107,-4.513799329
8109,16.452360035
8111,2.8943560058
8113,6.9020440669
8115,9.6842105263
8117,0.1774937877
8119,2.9051138548
8121,-11.20152172
8123,11.094581209
8125,-7.610951863
9000,-0.409587864
9001,3.5360439783
9003,-1.028658676
9005,-6.04978993
9007,-3.495997685
9009,-0.885192807
9011,2.1091956544
9013,-8.648698269
9015,-5.215278395
10000,4.843736283
10001,8.2549404796
10003,1.1042026874
10005,12.107209789
11000,16.091188182
11001,16.091188182
12000,10.561533646
12001,1.5438193372
12003,-4.140327529
12005,8.7192949559
12007,-54.64835442
12009,6.7495933842
12011,11.315013497
12013,-4.356408686
12015,24.425550117
12017,4.8468509808
12019,5.0650611769
12021,13.287626807
12023,7.4259805771
12027,1.6893342878
12029,-12.34681655
12031,3.1783837947
12033,10.168805489
12035,12.200351207
12037,12.909374458
12039,-20.58607513
12041,-6.019297159
12043,-10.66415745
12045,2.6637914632
12047,7.5726565698
12049,-17.16162038
12051,-39.19731397
12053,5.2377989669
12055,3.1621919786
12057,13.232394872
12059,-4.552927786
12061,13.019715569
12063,-0.528960592
12065,-20.31445666
12067,-1.137074308
12069,11.346672625
12071,19.608704176
12073,13.477084153
12075,-5.326731188
12077,3.3806217929
12079,-9.133378825
12081,18.784595543
12083,7.8299625165
12085,11.089701265
12086,7.4757595314
12087,6.9616971998
12089,4.1569413521
12091,28.627059732
12093,-7.715603363
12095,19.108524502
12097,28.513934507
12099,12.728034667
12101,8.3580724729
12103,6.5159608434
12105,6.799406888
12107,-9.237339592
12109,27.435379685
12111,8.2080848926
12113,11.939043348
12115,15.973189811
12117,6.4770543057
12119,44.238744966
12121,5.1092034706
12123,3.0383091149
12125,-3.272572569
12127,7.2653958278
12129,-5.757536551
12131,24.647138095
12133,10.030253193
13000,3.7037411094
13001,-9.770926067
13003,-18.17634667
13005,-4.844135456
13007,11.970671854
13009,26.481976332
13011,-7.036833425
13013,-4.100615092
13015,-3.503763301
13017,-2.614230507
13019,-13.33748508
13021,-2.295271676
13023,-15.32419529
13025,-1.887148519
13027,-28.03886199
13029,21.222330678
13031,1.866350119
13033,-24.40176999
13035,-10.24507407
13037,-7.278241092
13039,11.155488225
13043,-12.01201201
13045,0.4681732241
13047,-1.975049569
13049,-10.14811775
13051,9.5000428999
13053,62.494685826
13055,-1.052385407
13057,6.1864841745
