county_fips,rate_natural_increase_population
6087,5.6099608809
6089,0.2869496966
6091,-3.244120032
6093,-0.744131508
6095,5.1410499321
6097,2.4390892703
6099,7.4837377069
6101,6.2966751647
6103,1.8649787029
6105,-2.428792228
6107,11.633315227
6109,-2.971086923
6111,6.6373529933
6113,5.6527193565
6115,9.4036334097
8000,6.2105411657
8001,9.1809557616
8003,5.5433432094
8005,7.3473447062
8007,3.4778288411
8009,-4.266666667
8011,-0.325945241
8013,4.5754780184
8014,6.0276136832
8015,-0.442208833
8017,5.890227577
8019,2.8842420545
8021,4.9582779054
8023,-2.760905577
8025,-0.881134902
8027,-2.368545713
8029,0.7229945118
8031,8.1134481119
8033,2.9607698001
8035,8.2772944376
8037,11.495904584
8039,1.8944286575
8041,8.4017242938
8043,-2.287384439
8045,9.4496006524
8047,2.3943272861
8049,4.5163979989
8051,5.5484839584
8053,3.6877688998
8055,-7.332162224
8057,-4.474272931
8059,3.0558141417
8061,-9.154929577
8063,2.7086924403
8065,4.1107152645
8067,3.853638429
8069,4.9830543689
8071,-0.998502247
8073,-1.657611198
8075,1.7359179222
8077,3.47718606
8079,1.3986013986
8081,3.384222005
8083,0.8635578584
8085,-1.445653239
8087,5.467372134
8089,0.160115283
8091,3.1354983203
8093,2.0558185896
8095,1.3608528011
8097,4.5268564464
8099,4.4135938691
8101,1.8385503498
8103,2.5175860792
8105,0.6728626099
8107,5.2875935001
8109,6.5489976839
8111,0.0
8113,5.7074595169
8115,-7.157894737
8117,9.016684416
8119,0.4699448883
8121,-2.113494663
8123,8.9452690273
8125,4.151428289
9000,2.1693399398
9001,4.1822790952
9003,1.9402976758
9005,-1.471283416
9007,0.307406693
9009,1.6998016127
9011,1.9410448743
9013,1.1671480606
9015,1.7102049283
10000,3.8001492406
10001,4.8615101367
10003,4.5493150723
10005,0.9072970481
11000,7.4821235586
11001,7.4821235586
12000,2.0992379898
12001,5.2936647558
12003,4.3990980001
12005,4.1486967935
12007,2.0907681771
12009,-1.828969372
12011,3.8481264611
12013,0.8168266285
12015,-7.426855086
12017,-8.897843295
12019,3.1022204959
12021,0.6698370265
12023,0.7988106597
12027,3.0064423765
12029,-3.439909088
12031,5.8420634273
12033,3.0456650697
12035,-2.399232246
12037,-1.212961359
12039,2.8526722514
12041,0.2950635862
12043,-2.666039363
12045,-2.410097038
12047,0.6822213126
12049,7.7281715436
12051,8.510970563
12053,-5.972827109
12055,-5.500790548
12057,5.6738439109
12059,-2.428228152
12061,-3.36938793
12063,-1.22067829
12065,-1.808821483
12067,0.3411222923
12069,-0.840739454
12071,0.5473436581
12073,4.6940253492
12075,-2.900942806
12077,1.0866284334
12079,0.8398509265
12081,-0.211674451
12083,-3.101361687
12085,-3.698812876
