county_fips,rate_domestic_migration
13253,-10.71092279
13255,10.220934218
13257,8.8483448505
13259,-14.71682513
13261,-11.65321855
13263,-15.39179104
13265,-11.06670765
13267,-5.834926768
13269,-4.138266796
13271,-35.29448061
13273,-16.44847264
13275,1.6490985671
13277,-3.896904674
13279,-4.164286636
13281,24.6564447
13283,-17.02064678
13285,-0.24366821
13287,-5.525555695
13289,-10.60496505
13291,34.179228168
13293,1.6769570851
13295,-0.87596356
13297,13.462909628
13299,7.6928495949
13301,2.052430264
13303,-18.40177202
13305,15.419837048
13307,-9.529254812
13309,12.809242748
13311,15.205802674
13313,-0.567103208
13315,-17.80016793
13317,-10.04056795
13319,-3.425414365
13321,-1.256311759
15000,-8.039693839
15001,4.4839978594
15003,-11.7589995
15005,0.0
15007,-3.128551186
15009,-2.763823674
16000,11.124247361
16001,18.936613522
16003,14.55566905
16005,-4.713964231
16007,3.2187023547
16009,5.7723261364
16011,-3.120435533
16013,4.0734129708
16015,18.921610471
16017,18.580940243
16019,9.6590934688
16021,28.782608696
16023,0.38925652
16025,8.3643122677
16027,12.978721878
16029,14.117647059
16031,-8.855208821
16033,-27.33485194
16035,16.390584133
16037,9.5787793197
16039,-3.579470008
16041,19.942911513
16043,2.2545284926
16045,15.93151825
16047,-9.497740989
16049,-1.536712051
16051,14.302090725
16053,2.4135850358
16055,21.489090103
16057,-6.345862344
16059,-0.129483361
16061,12.832263978
16063,-13.00659755
16065,-2.0010135
16067,0.2923762883
16069,4.0932972258
16071,9.1292134831
16073,1.4126787922
16075,3.1087175446
16077,-8.849557522
16079,0.0
16081,25.03426222
16083,9.6589266789
16085,35.67065722
16087,15.359132661
17000,-8.814756085
17001,-6.271097442
17003,-42.96195447
17005,-6.499759268
17007,-3.52779774
17009,-20.76176251
17011,-1.794070597
17013,1.4389968136
17015,-0.752445448
17017,-18.4989222
17019,-9.933743267
17021,-4.588187666
17023,0.8825847124
17025,-4.491858506
17027,-4.490858844
17029,-8.92633847
17031,-11.84884738
17033,-5.262061061
17035,-0.552282769
17037,-7.653342936
17039,-1.980136753
17041,-9.959051615
17043,-10.23666592
17045,-0.911109846
17047,1.8395033341
17049,-4.27075411
17051,-22.15291474
17053,-9.969867192
17055,-6.85717199
17057,-2.837636614
17059,-10.59934477
17061,-13.0723893
17063,-5.562177195
17065,-6.206644761
17067,-0.329480245
17069,-11.16902457
17071,-13.39768062
17073,-3.187540349
