FIPStxt,year,rate_natural_increase_population
18003,2020,5.2838232292
18005,2020,3.375355103
18007,2020,2.5285903109
18009,2020,-4.05371168
18011,2020,4.3777314447
18013,2020,-2.374513555
18015,2020,2.027444678
18017,2020,0.9790431837
18019,2020,2.0290174971
18021,2020,0.7251908397
18023,2020,3.1583347525
18025,2020,-0.377875396
18027,2020,6.3635954314
18029,2020,0.0
18031,2020,1.7641318219
18033,2020,2.353402628
18035,2020,-0.92806612
18037,2020,3.5124692659
18039,2020,6.7239864258
18041,2020,-0.606349344
18043,2020,1.6244979406
18045,2020,0.2443792766
18047,2020,2.8154143938
18049,2020,1.1492242736
18051,2020,-0.029731377
18053,2020,-0.910415149
18055,2020,-2.406964568
18057,2020,5.8085773026
18059,2020,2.780543952
18061,2020,1.4369061923
18063,2020,3.5110714402
18065,2020,-2.101911491
18067,2020,-0.048543395
18069,2020,0.5772164424
18071,2020,3.057792274
18073,2020,0.9263824764
18075,2020,2.4779535019
18077,2020,0.6825409137
18079,2020,1.2993106435
18081,2020,3.2520842614
18083,2020,-0.10930455
18085,2020,3.8395689612
18087,2020,11.799111269
18089,2020,0.8433572216
18091,2020,0.3001787428
18093,2020,-2.153846154
18095,2020,-0.586551003
18097,2020,6.2528531957
18099,2020,2.2689456966
18101,2020,0.8791638175
18103,2020,0.5058879739
18105,2020,1.7858290407
18107,2020,0.9659061244
18109,2020,1.4933227141
18111,2020,-0.929567394
18113,2020,3.7150923001
18115,2020,-0.850774205
18117,2020,1.0205643721
18119,2020,-2.928398262
18121,2020,1.6511867905
18123,2020,1.0981540553
18125,2020,-1.130080316
18127,2020,-0.10003619
18129,2020,-0.745375728
18131,2020,-1.046488227
18133,2020,0.3197356852
18135,2020,0.5659881547
18137,2020,1.5147778913
18139,2020,-0.060211946
18141,2020,3.5703889845
18143,2020,-2.014394528
18145,2020,1.1204356254
18147,2020,-1.13127736
18149,2020,-0.957645932
18151,2020,-0.347418248
18153,2020,-0.096700109
18155,2020,0.093101201
18157,2020,5.0930691646
18159,2020,-0.859220093
18161,2020,0.0
18163,2020,0.9322312044
18165,2020,-1.870485036
18167,2020,0.2145472354
18169,2020,-3.215744284
18171,2020,0.2417648837
18173,2020,0.1593981127
18175,2020,0.6789594054
18177,2020,-1.65239142
18179,2020,2.660565104
18181,2020,0.3731730072
18183,2020,2.8524797459
19000,2020,2.8120046551
19001,2020,0.9841135948
19003,2020,-2.484129175
19005,2020,1.0167398961
19007,2020,-3.463970677
19009,2020,-0.547095833
19011,2020,0.6631558416
19013,2020,3.40747896
19015,2020,-0.83736155
19017,2020,2.1198728076
19019,2020,3.2111066512
19021,2020,6.9969071642
19023,2020,-2.623946969
19025,2020,-2.270498994
19027,2020,0.6448732576
19029,2020,-3.180266832
19031,2020,1.2368583797
19033,2020,-1.245710525
19035,2020,-4.527296937
19037,2020,2.846975089
19039,2020,1.9050642959
19041,2020,2.3659797024
19043,2020,-0.569979196
19045,2020,-0.215364073
19047,2020,4.5415671356
19049,2020,8.636576775
19051,2020,7.3447585132
19053,2020,2.4111675127
19055,2020,1.2906253667
19057,2020,0.0768088484
19059,2020,-1.80342651
19061,2020,2.3579927201
19063,2020,-0.432783338
19065,2020,-0.711942841
19067,2020,0.445945085
19069,2020,0.9923096006
19071,2020,0.1434617316
19073,2020,-1.23228589
19075,2020,-0.816193275
19077,2020,-0.467093279
19079,2020,-0.539465255
19081,2020,-1.405810684
19083,2020,-2.427256312
19085,2020,-1.918022306
19087,2020,1.6005201691
