FIPStxt,year,rate_international_migration
19057,2012,0.0996326048
19059,2012,0.2959981056
19061,2012,0.5480838147
19063,2012,0.1996705436
19065,2012,0.8622754491
19067,2012,-0.372879249
19069,2012,-0.282992171
19071,2012,0.1378169791
19073,2012,0.4321287744
19075,2012,0.080272928
19077,2012,0.0925026595
19079,2012,0.5196829934
19081,2012,0.1780389015
19083,2012,0.3454828122
19085,2012,0.0
19087,2012,0.1491238971
19089,2012,0.1047449461
19091,2012,0.2050756216
19093,2012,0.0
19095,2012,-0.123065563
19097,2012,0.0507369543
19099,2012,0.0819716924
19101,2012,13.673125036
19103,2012,4.9928278802
19105,2012,0.145123839
19107,2012,0.0960384154
19109,2012,0.1298153377
19111,2012,0.2812543946
19113,2012,1.1450061905
19115,2012,2.110725122
19117,2012,0.2265262204
19119,2012,0.1705829673
19121,2012,0.1274656639
19123,2012,0.1336332658
19125,2012,0.4207742246
19127,2012,3.0227314279
19129,2012,-0.133770316
19131,2012,0.186697783
19133,2012,0.1091167003
19135,2012,0.3719085105
19137,2012,0.0
19139,2012,0.6530003032
19141,2012,0.2114611969
19143,2012,0.3194888179
19145,2012,0.253164557
19147,2012,0.6440186765
19149,2012,0.2014179826
19151,2012,0.0
19153,2012,2.1168022024
19155,2012,-0.05364404
19157,2012,1.0631511801
19159,2012,0.1984914649
19161,2012,0.0
19163,2012,0.6866163546
19165,2012,0.6662225183
19167,2012,1.2884711119
19169,2012,6.4104314209
19171,2012,0.0569557169
19173,2012,0.1591849729
19175,2012,0.4772889985
19177,2012,0.0
19179,2012,1.8613308516
19181,2012,0.3848620911
19183,2012,-0.091480846
19185,2012,0.0
19187,2012,0.7992753237
19189,2012,-0.281716593
19191,2012,-0.095029934
19193,2012,1.5606634771
19195,2012,0.1328285847
19197,2012,0.307054579
20000,2012,2.0773372825
20001,2012,0.37515006
20003,2012,-0.375492834
20005,2012,-0.119306827
20007,2012,0.2042900919
20009,2012,-0.579531666
20011,2012,1.0730333311
20013,2012,0.2016332292
20015,2012,0.5322910567
20017,2012,0.0
20019,2012,0.2789789371
20021,2012,-0.235012103
20023,2012,1.4925373134
20025,2012,0.0
20027,2012,-0.117419128
20029,2012,1.911030895
20031,2012,0.1179662616
20033,2012,0.0
20035,2012,0.992884329
20037,2012,1.9610839446
20039,2012,0.0
20041,2012,0.3554201574
20043,2012,0.6309148265
20045,2012,5.3677721088
20047,2012,1.0026737968
20049,2012,0.0
20051,2012,1.8667680714
20053,2012,0.0
20055,2012,2.9639609296
20057,2012,3.2156669612
20059,2012,0.1547957663
20061,2012,13.989644384
20063,2012,0.0
20065,2012,0.7668711656
20067,2012,-0.12716175
20069,2012,0.0
20071,2012,0.0
20073,2012,0.0
20075,2012,1.8910741301
20077,2012,0.1695058903
20079,2012,0.3455972352
20081,2012,1.1834319527
20083,2012,-0.514933059
20085,2012,-0.223646936
20087,2012,0.052905854
20089,2012,0.0
20091,2012,1.7386848387
20093,2012,1.0089544709
20095,2012,-0.636294222
20097,2012,1.1831985802
20099,2012,0.2820874471
20101,2012,0.0
20103,2012,3.1411785236
20105,2012,0.6235385814
20107,2012,0.0
20109,2012,0.3597122302
20111,2012,3.2737120919
20113,2012,0.3768736617
20115,2012,0.642028811
20117,2012,0.1999100405
20119,2012,0.0
20121,2012,-0.183469406
20123,2012,0.4767580453
20125,2012,1.0396961777
20127,2012,0.3415008964
20129,2012,-0.951927653
20131,2012,-0.19846192
20133,2012,1.4604314358
20135,2012,0.0
20137,2012,-0.355808575
20139,2012,0.2460251561
20141,2012,0.7851347815
20143,2012,0.0
20145,2012,-0.28899646
20147,2012,0.1807991322
20149,2012,0.8115602245
20151,2012,0.1030821565
20153,2012,1.5945784333
20155,2012,-0.202123855
20157,2012,0.4116073266
20159,2012,0.9956688405
20161,2012,15.040981706
20163,2012,0.1919201612
20165,2012,0.3115750117
20167,2012,-0.429276669
20169,2012,0.4838406193
20171,2012,-0.615889961
20173,2012,2.0893193992
20175,2012,3.2271250619
20177,2012,0.737588811
20179,2012,-0.400560785
20181,2012,-0.657192147
20183,2012,0.0
20185,2012,0.0
20187,2012,0.0
20189,2012,1.4073357375
20191,2012,0.2952216271
20193,2012,0.3779765655
20195,2012,0.3392705683
20197,2012,0.2850627138
20199,2012,0.0
20201,2012,0.6928206461
20203,2012,-0.89146423
20205,2012,0.0
20207,2012,0.0
20209,2012,3.2137118372
21000,2012,1.777946903
21001,2012,-0.052741225
21003,2012,-0.098990299
21005,2012,0.0
21007,2012,0.3624501631
21009,2012,0.9184250188
21011,2012,0.0851244946
21013,2012,-0.175617295
