FIPStxt,year,rate_domestic_migration
13089,2012,1.5402239784
13091,2012,-4.497924926
13093,2012,-15.15830089
13095,2012,-10.26576095
13097,2012,-4.357592599
13099,2012,-17.54549697
13101,2012,-39.84559831
13103,2012,5.2819226198
13105,2012,-12.7424104
13107,2012,7.6508048824
13109,2012,-34.9062702
13111,2012,3.5968939763
13113,2012,-1.855728747
13115,2012,-4.518456437
13117,2012,18.64417356
13119,2012,-3.508931826
13121,2012,15.188291708
13123,2012,-6.076342889
13125,2012,8.6956521739
13127,2012,4.9572299148
13129,2012,-1.600618666
13131,2012,2.8590148311
13133,2012,3.2330266103
13135,2012,4.4320989068
13137,2012,5.577412636
13139,2012,2.8877831488
13141,2012,-35.83414529
13143,2012,-5.777190665
13145,2012,4.9324105615
13147,2012,5.2621244846
13149,2012,-7.954496857
13151,2012,-1.089377127
13153,2012,3.6256655686
13155,2012,-9.858351061
13157,2012,-6.222397347
13159,2012,-18.05474665
13161,2012,-3.031301483
13163,2012,-26.69404517
13165,2012,111.53020368
13167,2012,1.999700045
13169,2012,-6.380308207
13171,2012,-8.234318873
13173,2012,-8.879129272
13175,2012,-4.220070404
13177,2012,-3.665817128
13179,2012,-47.50329884
13181,2012,-13.81427475
13183,2012,41.696158548
13185,2012,11.092884061
13187,2012,2.8130775395
13189,2012,-3.977430395
13191,2012,-25.33266918
13193,2012,-13.14553991
13195,2012,-5.511699026
13197,2012,-7.137512232
13199,2012,-15.00011646
13201,2012,-12.58799172
13205,2012,-17.0373876
13207,2012,-1.517537037
13209,2012,-20.42752693
13211,2012,-6.159704334
13213,2012,-5.440032539
13215,2012,4.5099889406
13217,2012,-1.022840119
13219,2012,3.3843481386
13221,2012,-16.97641784
13223,2012,-0.853147629
13225,2012,-4.50036903
13227,2012,-4.808184143
13229,2012,4.0871573025
13231,2012,0.0562508789
13233,2012,-8.278507441
13235,2012,-11.8106891
13237,2012,-7.457579119
13239,2012,-13.58304178
13241,2012,3.7468136728
13243,2012,-34.01680672
13245,2012,-3.092142875
13247,2012,-5.806738627
13249,2012,-5.760826381
13251,2012,-18.82896441
13253,2012,11.792720263
13255,2012,-8.53329158
13257,2012,0.3498338289
13259,2012,3.9421813403
13261,2012,-19.35585232
13263,2012,-30.98591549
13265,2012,-11.24593075
13267,2012,-4.04723079
13269,2012,-10.83268853
13271,2012,7.1143820914
13273,2012,-22.66745448
